40,25000,12
33,26000,24
60,27000,28
50,25000,25
45,28000,23
55,16000,22
65,49000,24
63,12000,21
62,22000,15
66,24000,22
67,40000,23
70,24500,25
71,23000,28
74,24000,27
75,32000,22
76,38000,23
77,35000,18
78,23000,19
79,16000,26
80,17000,15
45,12000,22
55,22000,22
65,12000,25
62,13000,27
60,14000,28
42,15000,25
46,15500,24
48,16000,25
47,18000,28
56,19000,28
57,22000,15
59,42000,22
62,45000,22
60,21000,25
62,22000,28
60,23000,28
51,25000,28
53,28000,23
55,27000,23
56,26000,28
58,24000,28
53,23000,23
55,22000,28
56,46000,28
58,21000,28
